站点,Lon,Lat,Alti,PRS,TEM,RHU,PRE_1h,D_Avg_2,Avg_2,VIS,PRS_Sea
59065, 111.50,  24.42,  148.70,  989.40,    28.30,     85.00,        0.00,    286.00,    0.80,  13300.00,    1006.20
54408, 115.22,  40.38,  529.60,  946.90,    23.40,     65.00,        0.00,    149.00,    0.40,  21900.00,    1006.00
52854, 100.49,  36.59, 3200.80,  691.30,    13.60,     80.00,        0.00,    113.00,    1.80, 999999.00,    1002.10
57754, 109.84,  27.21,  252.00,  975.70,    28.40,     81.00,        0.00,    332.00,    0.30,  16200.00,    1003.90
51828,  79.93,  37.13, 1375.00,  859.80,    18.80,     74.00,        0.00,    250.00,    2.60,   9700.00,    1005.50
56082, 103.50,  34.59, 2592.10,  743.60,    14.60,     86.00,        0.00,    344.00,    1.10,  16200.00,    1004.10
56790, 104.25,  25.68, 1925.80,  805.40,    16.80,     91.00,        0.00,    323.00,    0.60,  24200.00,    1005.30
53149, 110.13,  42.53, 1225.20,  871.50,    23.50,     43.00,        0.00,    197.00,    1.00,  15400.00,    1001.90
57071, 112.47,  34.80,  329.10,  969.40,    21.80,     81.00,        0.00,    277.00,    2.00,   6600.00,    1007.10
52941, 100.26,  36.26, 2872.00,  719.00,    12.10,     94.00,        0.00,     15.00,    0.80, 999999.00,    1005.90
54932, 118.65,  35.77,  186.70,  985.40,    23.10,     88.00,        0.00,     23.00,    1.20,   2500.00,    1006.90
52968, 101.47,  35.03, 3662.80,  654.20,     8.90,     86.00,        0.00,    222.00,    0.80,   5200.00,    1002.20
57176, 112.46,  33.43,  244.00,  979.20,    21.50,    100.00,        0.00, 999999.00,    0.00,   1500.00,    1007.40
57562, 111.36,  29.58,  116.90,  992.60,    23.00,     96.00,        0.00,     86.00,    1.10,   4000.00,    1006.10
59215, 106.63,  23.33,  680.00,  930.90,    26.10,     84.00,        0.00,     75.00,    0.70,   6700.00,    1005.30
50884, 131.15,  46.66,  175.30,  984.00,    25.30,     71.00,        0.00,    103.00,    0.30,  29200.00,    1004.10
59297, 114.26,  23.18,   50.20, 1000.70,    29.90,     74.00,        0.00,    131.00,    2.70,  30000.00,    1006.50
50862, 127.98,  46.98,  206.00,  980.50,    24.20,     79.00,        0.00,    101.00,    1.30,  30000.00,    1004.20
56491, 104.51,  28.69,  476.90,  948.00,    24.00,     98.00,        0.10,    204.00,    1.40,    100.00,    1001.00
51827,  79.63,  37.17, 1348.90,  862.40,    17.40,     88.00,        1.30,    238.00,    1.10,   5200.00,    1006.20
58747, 119.35,  27.15,  899.30,  909.00,    25.80,     63.00,        0.00,    127.00,    1.30,  18600.00,    1006.80
59278, 112.48,  22.99,   60.00,  999.90,    29.30,     75.00,        0.00,    302.00,    0.50,  30000.00,    1006.70
58846, 119.52,  26.67,   32.40, 1002.30,    29.80,     73.00,        0.00,     91.00,    1.30,  27200.00,    1006.10
58837, 118.15,  26.15,  204.80,  983.00,    28.20,     76.00,        0.00,     64.00,    0.60,  14700.00,    1006.00
58845, 119.55,  26.50,   78.50,  997.20,    28.80,     80.00,        0.00,    315.00,    0.90,  11500.00,    1006.20
58826, 117.80,  26.40,  120.60,  991.80,    29.80,     77.00,        0.00,    325.00,    0.80,  21900.00,    1005.40
58911, 116.37,  25.85,  310.00,  971.40,    28.40,     75.00,        0.00,     93.00,    0.70,  15800.00,    1006.10
58844, 119.15,  26.15,   57.80,  999.30,    30.20,     72.00,        0.00,    102.00,    0.80,  30000.00,    1005.90
58731, 118.53,  27.92,  276.90,  974.60,    27.70,     78.00,        0.00,    359.00,    0.80,   8100.00,    1005.70
58734, 118.12,  27.33,  196.90,  983.30,    27.90,     84.00,        0.00,     12.00,    0.40,  10500.00,    1005.50
58938, 119.11,  25.27,   65.30,  999.00,    30.10,     75.00,        0.00,    123.00,    2.10,  11100.00,    1006.60
58931, 118.10,  25.72, 1653.50,  833.60,    23.00,     83.00,        0.00,    260.00,    2.50,   9400.00,    1006.50
58927, 117.02,  25.05,  376.00,  964.50,    27.60,     78.00,        0.00,     61.00,    0.50,  11600.00,    1006.50
58822, 116.85,  26.83,  342.30,  967.40,    28.20,     79.00,        0.00,    315.00,    0.50,   7000.00,    1005.60
58828, 117.62,  26.27,  208.20,  981.80,    29.90,     69.00,        0.00, 999999.00,    0.20,   9000.00,    1005.10
58848, 119.55,  26.20,   13.40, 1004.50,    30.10,     76.00,        0.00,    357.00,    1.50,  13300.00,    1006.10
59133, 118.92,  24.90,   21.80, 1004.10,    29.00,     79.00,        0.00,     96.00,    3.20,  14200.00,    1006.70
58923, 117.83,  25.70,  400.10,  961.60,    27.00,     75.00,        0.00,    242.00,    1.00,  10100.00,    1006.10
58744, 119.50,  27.45,  845.20,  914.00,    25.90,     69.00,        0.00,    184.00,    0.70,  15100.00,    1006.30
58934, 118.27,  25.33,  183.80,  985.70,    27.00,     87.00,        0.00,    267.00,    0.90,  17000.00,    1006.70
58839, 118.86,  26.22,  149.00,  988.60,    29.40,     72.00,        0.00,    125.00,    1.50,  19900.00,    1005.40
58754, 120.20,  27.33,   36.20, 1001.70,    29.90,     75.00,        0.00,    228.00,    1.30,  18800.00,    1005.90
58824, 117.15,  26.40,  357.40,  965.90,    27.30,     83.00,        0.00,     99.00,    0.70,  18200.00,    1005.80
58935, 118.23,  25.52,  645.60,  935.40,    25.70,     85.00,        0.00, 999999.00,    0.00,  12000.00,    1007.20
58748, 119.65,  27.10,   50.50, 1000.30,    28.70,     76.00,        0.00,    236.00,    1.80,   7600.00,    1006.10
59131, 118.37,  24.97,  172.80,  986.70,    28.80,     72.00,        0.00,    352.00,    1.00,   5100.00,    1006.30
58941, 119.50,  25.97,   25.90, 1003.30,    30.80,     66.00,        0.00,     26.00,    1.20,  14300.00,    1006.30
58918, 116.42,  25.05,  198.00,  983.70,    27.60,     79.00,        0.00,    247.00,    0.70,  18700.00,    1005.90
58942, 119.38,  25.67,   75.00,  997.90,    29.70,     71.00,        0.00,    140.00,    1.10,  20400.00,    1006.50
58850, 120.23,  26.92,   92.20,  995.40,    29.50,     74.00,        0.00,    140.00,    0.80,   5300.00,    1006.00
58749, 119.88,  27.23,  684.10,  931.00,    25.70,     75.00,        0.00,    181.00,    1.40,   6500.00,    1006.40
58843, 120.02,  26.88,   56.80,  999.40,    30.00,     70.00,        0.00,      7.00,    1.80,  15300.00,    1005.90
58818, 116.63,  26.23,  358.90,  965.60,    28.40,     81.00,        0.00,     59.00,    1.00,  20800.00,    1005.50
58736, 118.82,  27.38,  262.40,  976.10,    29.60,     70.00,        0.00,    117.00,    1.40,  16200.00,    1005.50
58823, 117.80,  26.80,  175.20,  985.70,    28.90,     78.00,        0.00,    240.00,    0.80,   6300.00,    1005.50
58926, 117.42,  25.30,  205.30,  983.40,    27.70,     78.00,        0.00,    299.00,    1.20,  14000.00,    1006.60
58932, 118.93,  25.87,   85.60,  996.50,    28.60,     79.00,        0.00,    318.00,    0.50,  17700.00,    1006.30
58836, 118.73,  26.58,  361.50,  965.90,    27.50,     77.00,        0.00,    325.00,    0.40,  15600.00,    1006.20
58730, 118.03,  27.77,  222.10,  980.60,    28.90,     81.00,        0.00,     70.00,    0.90,  12200.00,    1005.60
58944, 119.78,  25.52,   32.40, 1003.10,    29.60,     74.00,        0.00,    101.00,    1.60,  23800.00,    1006.90
58737, 118.32,  27.05,  154.90,  988.10,    29.90,     79.00,        0.00,    276.00,    0.30,   6700.00,    1005.60
59306, 115.85,  23.45,   80.90,  996.60,    29.80,     79.00,        0.00,    249.00,    2.10,  20700.00,    1005.80
59113, 116.72,  24.73,  226.90,  980.50,    29.10,     75.00,        0.00,     20.00,    1.50,  11600.00,    1006.00
58819, 116.79,  26.19,  363.10,  965.20,    29.00,     75.00,        0.00,    112.00,    1.10,  14500.00,    1005.60
58820, 117.17,  26.90,  342.90,  967.40,    27.40,     82.00,        0.00,    204.00,    0.60,  17900.00,    1005.70
58725, 117.47,  27.33,  218.00,  981.00,    29.10,     79.00,        0.00,     92.00,    0.50,   8400.00,    1005.50
58929, 118.20,  25.07,  130.60,  991.70,    28.20,     78.00,        0.00,    229.00,    1.30,  10900.00,    1006.60
58724, 117.32,  27.53,  268.20,  975.20,    26.80,     91.00,        0.00,     68.00,    0.90,   7800.00,    1005.40
59134, 118.07,  24.48,  139.40,  990.70,    28.50,     85.00,        0.00,    128.00,    1.60,   4500.00,    1006.60
51826,  80.80,  37.02, 1336.50,  859.00,    19.20,     76.00,        0.00,    277.00,    2.50,  10600.00,    1000.00
54917, 116.33,  35.13,   35.80, 1003.00,    22.60,     98.00,        0.00,    140.00,    1.50,    100.00,    1007.30
57420, 107.19,  30.75,  418.00,  955.00,    23.00,     99.00,        0.90,     38.00,    3.40,  24600.00,    1001.70
53522, 107.83,  40.05, 1180.30,  876.00,    23.80,     56.00,        0.00,    217.00,    3.70,  30000.00,    1001.30
51829,  80.23,  37.05, 1295.60,  861.90,    19.10,     75.00,        0.00,    273.00,    3.70,  11300.00,     998.90
59046, 109.47,  24.37,  306.00,  971.80,    27.90,     81.00,        0.00,    171.00,    3.80,  17700.00,    1006.10
57889, 113.94,  26.08,  835.90,  915.60,    24.90,     86.00,        0.00, 999999.00,    0.00,  10000.00,    1007.20
57808, 105.74,  26.31, 1281.80,  866.50,    22.40,     86.00,        0.00,    169.00,    2.70,  24700.00,    1002.70
57099, 114.85,  34.07,   52.60, 1001.60,    22.80,     91.00,        0.00,    134.00,    0.40,   3600.00,    1007.80
58240, 119.00,  32.74,   10.40, 1005.90,    21.90,     99.00,        0.00,    126.00,    1.60,   4600.00,    1007.20
58316, 116.92,  31.47,   23.60, 1003.50,    21.90,     98.00,        4.60,     38.00,    2.00,   3400.00,    1006.40
50778, 132.54,  47.66,   57.50,  997.80,    23.40,     84.00,        0.00,    187.00,    2.60,  30000.00,    1004.60
56643,  98.85,  25.87,  949.90,  902.20,    21.80,     98.00,        0.00, 999999.00,    0.10,   1300.00,    1006.20
51705,  75.25,  39.72, 2175.70,  781.30,    11.60,     89.00,        0.00,    249.00,    1.00,  23300.00,    1005.60
51367,  86.85,  44.17,  575.10,  944.00,    20.70,     51.00,        0.00,    161.00,    0.30,  26600.00,    1008.10
59093, 115.03,  24.78,  253.00,  977.20,    29.00,     76.00,        0.00,     65.00,    0.80,  10500.00,    1005.50
57870, 112.10,  26.79,  151.60,  987.30,    30.80,     75.00,        0.00,    113.00,    0.70,  23600.00,    1004.40
51526,  88.22,  42.23,  922.40,  903.90,    23.80,     27.00,        0.00,     94.00,    2.00,  30000.00,    1002.80
59441, 109.25,  22.80,   88.70,  996.60,    28.90,     86.00,        0.00,    172.00,    4.70,  13900.00,    1006.70
58007, 115.36,  34.10,   45.70, 1001.60,    22.40,     99.00,        0.00,    173.00,    1.20,   3400.00,    1007.00
50858, 125.81,  46.02,  159.50,  985.80,    25.70,     98.00,        0.00,    253.00,    1.70,   8600.00,    1004.10
58946, 119.00,  25.45,   81.10,  997.20,    29.30,     80.00,        0.00,    138.00,    1.20,  17600.00,    1006.40
50873, 130.30,  46.78,   82.00,  994.60,    24.40,     86.00,        0.00,    309.00,    1.80,   9900.00,    1004.20
59224, 107.12,  23.60,  111.20,  992.40,    29.00,     76.00,        0.00,     92.00,    2.80,  13400.00,    1005.00
59451, 110.38,  22.67,  155.10,  989.30,    27.60,     84.00,        0.00,    164.00,    2.90,  22800.00,    1006.90
57783, 113.82,  27.88,  118.60,  991.00,    29.50,     86.00,        0.00,    351.00,    0.70,   5400.00,    1004.40
53757, 110.12,  37.12,  938.00,  903.60,    20.60,     81.00,        0.00,    128.00,    2.80,  21700.00,    1006.10
50775, 130.20,  47.34,  182.30,  983.20,    24.70,     80.00,        0.00,    129.00,    1.60,  14500.00,    1004.20
53512, 106.80,  39.80, 1105.60,  883.30,    23.80,     63.00,        0.00,    222.00,    1.10,  23600.00,    1001.60
58656, 120.97,  28.07,   60.80,  999.10,    28.20,     82.00,        0.00,    223.00,    0.90,   4000.00,    1006.20
53529, 107.96,  39.09, 1381.40,  857.00,    22.00,     57.00,        0.00,    241.00,    2.50,  30000.00,    1002.80
54729, 117.87,  37.17,   11.50, 1005.30,    25.50,     89.00,        0.00,    279.00,    2.20,   2800.00,    1006.70
58331, 118.37,  31.73,   22.50, 1004.10,    21.50,     97.00,        5.50,     57.00,    1.60,   1700.00,    1006.80
53889, 113.87,  36.06,  414.40,  959.40,    23.10,     85.00,        0.00,    302.00,    0.60,   3800.00,    1006.30
57402, 105.70,  30.77,  394.50,  957.50,    24.40,     93.00,        0.10,     54.00,    2.90,  30000.00,    1001.50
57295, 114.33,  32.62,   85.00,  997.20,    21.30,     97.00,        0.50,     55.00,    2.90,   3400.00,    1007.20
57178, 112.49,  33.10,  180.60,  986.20,    21.60,     94.00,        0.00,    324.00,    0.90,  13400.00,    1007.10
54063, 126.00,  44.97,  196.80,  981.60,    27.60,     60.00,        0.00,     80.00,    1.00,   9600.00,    1004.00
54505, 116.15,  39.88,   85.50,  995.50,    25.10,     70.00,        0.00,    328.00,    1.80,  24700.00,    1005.40
57657, 110.21,  28.23,  186.00,  983.20,    26.80,     88.00,        0.00,     51.00,    1.70,   5100.00,    1004.20
57883, 114.28,  26.75,  253.00,  976.10,    29.80,     77.00,        0.00,    166.00,    1.30,  14100.00,    1004.40
57679, 113.20,  28.21,  101.40,  993.00,    27.00,    100.00,        0.00,    294.00,    1.80,   3700.00,    1004.60
54716, 116.80,  37.67,   17.30, 1004.20,    25.70,     73.00,        0.00,    230.00,    2.80,   5100.00,    1006.30
51818,  78.28,  37.62, 1375.40,  858.90,    16.70,     88.00,        0.00,     50.00,    0.90,   8700.00,    1005.20
53687, 113.63,  37.78,  753.00,  922.80,    20.80,     84.00,        0.00,    136.00,    0.60,  11900.00,    1006.40
53337, 108.47,  41.09, 1023.30,  891.80,    22.70,     71.00,        0.00,    110.00,    0.80,  12400.00,    1002.10
59092, 114.80,  24.87,  250.20,  977.80,    29.60,     75.00,        0.00,     56.00,    0.70,  13900.00,    1005.80
54514, 116.25,  39.87,   55.20,  999.10,    27.00,     66.00,        0.00,    325.00,    1.30,  10500.00,    1005.60
57506, 105.90,  29.37,  353.00,  960.50,    25.60,     94.00,        0.50,     22.00,    0.60,   5500.00,     999.70
57661, 111.48,  28.91,   48.70, 1000.00,    23.80,     92.00,        0.00,     16.00,    2.30,   4800.00,    1005.70
50854, 125.32,  46.38,  149.30,  986.90,    25.00,     82.00,        0.00,    204.00,    1.10,  14900.00,    1004.00
58207, 115.05,  32.16,   42.80, 1001.50,    21.30,     99.00,        2.90,     76.00,    1.80,   4800.00,    1006.60
57188, 114.04,  33.37,   55.90, 1000.60,    22.70,     99.00,        0.00,    175.00,    0.70,  10700.00,    1007.20
59021, 107.03,  24.55,  509.40,  948.50,    26.40,     84.00,        0.00,    266.00,    1.80,   4500.00,    1005.00
57776, 112.69,  27.30, 1265.90,  871.10,    23.80,     86.00,        0.00,    235.00,    6.40,  12800.00,    1006.20
50953, 126.57,  45.93,  118.30,  990.60,    26.60,     76.00,        0.00,    205.00,    0.80,  23800.00,    1004.20
58707, 115.13,  27.22,   66.20,  997.10,    29.90,     73.00,        0.00,    163.00,    2.60,  30000.00,    1004.70
59238, 108.83,  23.25,  127.70,  991.70,    28.50,     81.00,        0.00,    144.00,    3.10,  21300.00,    1006.20
59457, 110.27,  22.32,  121.60,  993.20,    27.70,     88.00,        0.00,    207.00,    2.10,  17200.00,    1007.00
56227,  95.77,  29.87, 2736.00,  732.10,    15.10,     91.00,        0.00, 999999.00,    0.00,  30000.00,    1002.40
53751, 110.03,  37.60,  996.50,  895.10,    21.40,     71.00,        0.00,    150.00,    0.80,  14200.00,    1002.90
57793, 114.37,  27.78,  131.30,  989.80,    27.50,     89.00,        0.00,    219.00,    1.70,   4400.00,    1004.70
57981, 113.22,  25.97,  139.30,  989.10,    30.20,     66.00,        0.00,    120.00,    3.00,  30000.00,    1004.90
59041, 109.25,  24.65,  218.60,  981.00,    27.70,     84.00,        0.00,    142.00,    1.60,   9000.00,    1005.70
54398, 116.62,  40.13,   28.60, 1002.00,    26.10,     67.00,        0.00,     18.00,    2.00,  16900.00,    1005.40
57975, 112.20,  25.38,  277.00,  974.60,    29.50,     74.00,        0.00, 999999.00,    0.20,  20800.00,    1005.60
51060,  86.87,  47.70,  473.90,  955.40,    18.90,     77.00,        0.00,    326.00,    1.50,  30000.00,    1009.20
59130, 118.18,  24.77,   45.60, 1000.90,    30.10,     72.00,        0.00,    221.00,    0.50,   9000.00,    1006.20
56137,  97.17,  31.15, 3315.00,  681.90,    14.00,     87.00,        0.00,    264.00,    0.70,  30000.00,     999.60
53871, 112.87,  36.85, 1080.30,  888.80,    18.00,     99.00,        0.00,    189.00,    1.20,   1700.00,    1007.10
57575, 112.60,  29.54,   49.50,  999.30,    24.20,     92.00,        0.00,      4.00,    3.00,   6400.00,    1005.10
57051, 111.24,  34.72,  575.60,  942.50,    19.80,     90.00,        0.00,     61.00,    0.90,  30000.00,    1007.60
54594, 116.35,  39.72,   37.50, 1000.70,    27.50,     69.00,        0.00,     62.00,    0.90,   5600.00,    1005.10
50468, 127.46,  50.25,  166.40,  982.50,    27.90,     56.00,        0.00,    168.00,    1.50,  29400.00,    1001.30
51241,  83.60,  45.93, 1094.20,  890.70,    15.90,     53.00,        0.00,    100.00,    1.10,  25500.00,    1011.10
53989, 113.98,  35.08,   75.90,  998.00,    22.90,     98.00,        0.00,    217.00,    1.80,   2800.00,    1006.90
57192, 114.88,  33.71,   44.30, 1002.20,    23.00,    100.00,        0.00,     39.00,    1.80,   4400.00,    1007.40
57544, 109.44,  29.46,  488.70,  950.00,    25.10,     92.00,        0.00, 999999.00,    0.10,   5400.00,    1004.40
59659, 110.91,  21.75,   33.50, 1003.10,    29.50,     83.00,        0.00,    123.00,    2.40,  28100.00,    1007.00
54802, 115.73,  36.82,   34.00, 1002.20,    25.00,     82.00,        0.00,    182.00,    2.50,   2900.00,    1006.20
57274, 111.98,  32.70,  120.00,  993.60,    20.90,    100.00,        0.50,    343.00,    1.00,   5700.00,    1007.70
57794, 114.02,  27.63,  177.20,  984.50,    28.90,     88.00,        0.00,     38.00,    1.10,   5500.00,    1004.40
53775, 112.59,  37.42,  785.80,  915.90,    21.10,     82.00,        0.00,    332.00,    0.50,   3600.00,    1002.40
59209, 105.82,  23.42,  855.80,  912.50,    24.50,     85.00,        0.00,    141.00,    4.40,  19000.00,    1005.90
53590, 114.27,  39.75,  977.80,  899.10,    19.70,     83.00,        0.00,    241.00,    1.40,  13600.00,    1006.70
52203,  93.52,  42.82,  737.20,  921.10,    20.20,     56.00,        0.00,     53.00,    0.40,   4300.00,    1001.50
51730,  81.27,  40.55, 1012.20,  894.20,    19.30,     70.00,        0.00,    258.00,    0.90,  21100.00,    1004.20
57296, 114.66,  32.34,   34.20, 1001.00,    21.50,    100.00,        2.60,     56.00,    1.60,   4200.00,    1005.10
57954, 110.15,  25.23,  222.50,  980.80,    27.00,     90.00,        0.00,    202.00,    1.10,   4900.00,    1005.90
57088, 113.50,  34.19,  146.00,  990.20,    21.40,     99.00,        0.00,    287.00,    0.90,   2400.00,    1007.20
50646, 124.88,  48.50,  230.60,  976.50,    28.10,     61.00,        0.00,    223.00,    2.80,  30000.00,    1002.50
54186, 128.20,  43.37,  524.90,  945.90,    22.10,     64.00,        0.00,    341.00,    0.50,  11100.00,    1005.00
56172, 102.23,  31.90, 2664.40,  734.10,    15.10,     94.00,        0.00, 999999.00,    0.00,  30000.00,     997.90
57078, 112.47,  34.16,  336.50,  968.30,    23.10,     87.00,        0.00,    156.00,    0.40,   8200.00,    1006.70
50861, 127.48,  46.89,  182.40,  983.30,    25.40,     81.00,        0.00,    330.00,    1.30,  22100.00,    1004.20
55593,  91.73,  29.85, 3804.30,  642.60,    12.20,     70.00,        0.00,    120.00,    3.60,  30000.00,     993.90
51369,  87.65,  43.97,  600.30,  940.90,    20.40,     54.00,        0.00,    113.00,    0.70,  12600.00,    1007.70
53759, 110.83,  37.00, 1109.10,  885.00,    19.60,     85.00,        0.00,    323.00,    0.80,   6800.00,    1005.60
57175, 112.24,  33.08,  239.70,  979.50,    21.20,     98.00,        0.00, 999999.00,    0.00,   6000.00,    1007.20
59632, 108.60,  21.98,   49.20, 1001.00,    29.20,     90.00,        0.00,    219.00,    2.90,  29900.00,    1006.70
51133,  83.00,  46.73,  534.90,  948.80,    15.80,     74.00,        0.00,     19.00,    0.90,  28200.00,    1009.30
58437, 118.15,  30.13, 1840.40,  813.50,    17.90,     99.00,        0.00,     74.00,    4.80,      0.00,    1006.60
50564, 127.33,  49.42,  234.50,  975.70,    27.90,     65.00,        0.00,    260.00,    2.60,  30000.00,    1002.10
54076, 126.93,  44.38,  268.10,  973.80,    25.90,     74.00,        0.00,     91.00,    0.80,   5100.00,    1004.30
51931,  81.65,  36.85, 1422.00,  854.40,    20.20,     67.00,        0.00,    270.00,    3.10,   4400.00,    1003.70
53948, 109.63,  34.89,  387.20,  963.40,    22.90,     79.00,        0.00,    128.00,    1.10,   8200.00,    1007.40
57773, 112.83,  27.88,   63.80,  997.40,    27.90,     87.00,        0.00,    335.00,    1.60,   7500.00,    1004.80
51704,  76.22,  39.73, 1267.60,  868.00,    16.00,     85.00,        0.00,    172.00,    0.60,   6000.00,    1003.90
57281, 113.30,  32.68,  160.80,  988.60,    21.10,    100.00,        0.80,     60.00,    0.90,   4200.00,    1007.30
50968, 127.97,  45.22,  189.70,  982.90,    25.00,     78.00,        0.00,    185.00,    0.50,  11000.00,    1004.70
54096, 131.18,  44.39,  567.80,  940.70,    21.10,     80.00,        0.00,    135.00,    2.20,  30000.00,    1004.60
59843, 110.02,  19.74,   31.40, 1003.00,    28.40,     81.00,        0.00,     64.00,    1.10,  20100.00,    1006.70
59052, 110.82,  24.83,  169.60,  986.80,    28.90,     82.00,        0.00,     79.00,    1.00,  10600.00,    1005.90
57798, 114.60,  27.38,   85.90,  994.60,    29.30,     85.00,        0.00,    295.00,    0.90,   6200.00,    1004.40
58100, 115.14,  33.63,   42.40, 1002.40,    23.70,    100.00,        0.00,     71.00,    1.30,   4900.00,    1007.40
53573, 112.70,  40.00, 1336.30,  862.00,    20.60,     78.00,        0.00,    310.00,    1.10,   9900.00,    1005.00
53987, 113.36,  35.11,   94.50,  995.30,    22.90,    100.00,        0.00,    245.00,    3.60,   5000.00,    1006.30
51571,  88.60,  42.77,   49.50,  997.50,    31.70,     21.00,        0.00,    309.00,    4.30,  30000.00,    1003.10
57566, 111.67,  29.47,   89.30,  995.20,    23.00,    100.00,        0.00,      4.00,    3.40,   3600.00,    1005.60
58004, 115.19,  34.62,   61.60, 1000.20,    21.40,     99.00,        0.00,    209.00,    1.80,    900.00,    1007.50
57189, 113.96,  33.15,   64.60,  999.70,    22.00,     95.00,        0.10,    199.00,    1.00,   4600.00,    1007.30
53998, 114.65,  35.19,   61.60,  999.80,    22.40,     94.00,        0.00,    228.00,    1.00,   2600.00,    1007.00
59241, 109.70,  23.98,  124.30,  992.00,    29.00,     73.00,        0.00,    221.00,    1.70,  21200.00,    1006.10
55572,  89.10,  29.68, 4000.00,  628.80,    10.20,     92.00,        0.90,     35.00,    0.40,  13200.00,     993.90
57978, 112.55,  25.27,  292.00,  973.10,    29.00,     72.00,        0.00,    332.00,    0.70,  21100.00,    1005.80
54192, 130.27,  43.70,  384.60,  961.00,    22.10,     67.00,        0.00,    243.00,    0.60,   2000.00,    1004.80
57090, 113.97,  34.71,   78.10,  997.60,    21.70,    100.00,        0.00,    146.00,    1.00,   2300.00,    1006.70
57585, 113.45,  29.48,   60.40,  997.60,    25.80,     87.00,        0.00,     34.00,    3.40,   8900.00,    1004.60
54903, 115.48,  35.85,   46.00, 1001.40,    23.60,     93.00,        0.00,    210.00,    2.40,   1500.00,    1006.80
57780, 113.17,  27.87,   74.60,  996.10,    29.70,     81.00,        0.00,     54.00,    1.30,   6800.00,    1004.70
58017, 116.15,  34.28,   42.60, 1002.50,    22.40,     99.00,        0.00, 999999.00,    0.10,    200.00,    1007.60
55664,  87.08,  28.63, 4300.00,  605.50,     8.30,     69.00,        0.00,     27.00,    1.00,  30000.00,     991.50
57292, 114.61,  32.90,   44.90, 1001.90,    22.20,    100.00,        0.00,     78.00,    1.50,   4500.00,    1007.20
57966, 111.96,  25.59,  244.20,  978.30,    29.00,     76.00,        0.00,    145.00,    1.00,  25400.00,    1005.50
50851, 126.08,  46.69,  207.40,  980.20,    26.60,     73.00,        0.00,    231.00,    1.50,  30000.00,    1003.80
57177, 113.54,  33.34,   89.80,  996.70,    22.30,    100.00,        0.10,    144.00,    0.60,  26600.00,    1007.20
57191, 114.47,  34.51,   64.20,  999.50,    22.10,     93.00,        0.00,    188.00,    2.20,   4300.00,    1007.00
57083, 113.66,  34.71,  110.40,  994.00,    24.10,     93.00,        0.00,    199.00,    0.90,   4500.00,    1006.80
54093, 130.55,  44.93,  266.30,  974.00,    23.40,     58.00,        0.00,    348.00,    0.30,  30000.00,    1004.40
53878, 113.37,  36.50,  780.70,  920.20,    19.90,     86.00,        0.00,    183.00,    0.80,   2100.00,    1007.00
57564, 111.09,  29.43,  174.10,  985.60,    23.10,     92.00,        0.00,     97.00,    0.90,   3600.00,    1005.60
